Symbol,Exchange,Currency,Country
NVDA,NMS,USD,United States
AAPL,NMS,USD,United States
MSFT,NMS,USD,United States
AMZN,NMS,USD,United States
GOOG,NMS,USD,United States
META,NMS,USD,United States
TSM,NYQ,USD,Taiwan
TSLA,NMS,USD,United States
AVGO,NMS,USD,United States
TCEHY,PNK,USD,China
ORCL,NYQ,USD,United States
NFLX,NMS,USD,United States
CRM,NYQ,USD,United States
005930.KS,KSC,KRW,South Korea
SAP,NYQ,USD,Germany
ASML,NMS,USD,Netherlands
BABA,NYQ,USD,China
AMD,NMS,USD,United States
CSCO,NMS,USD,United States
ADBE,NMS,USD,United States
NOW,NYQ,USD,United States
IBM,NYQ,USD,United States
TXN,NMS,USD,United States
QCOM,NMS,USD,United States
INTU,NMS,USD,United States
PDD,NMS,USD,Ireland
BKNG,NMS,USD,United States
UBER,NYQ,USD,United States
AMAT,NMS,USD,United States
3690.HK,HKG,HKD,China
SU.PA,PAR,EUR,France
ARM,NMS,USD,United Kingdom
ANET,NYQ,USD,United States
PANW,NMS,USD,United States
ADP,NMS,USD,United States
MU,NMS,USD,United States
FI,NYQ,USD,United States
PLTR,NMS,USD,United States
6861.T,JPX,JPY,Japan
SONY,NYQ,USD,Japan
ADI,NMS,USD,United States
MELI,NMS,USD,Uruguay
SHOP,NYQ,USD,Canada
INTC,NMS,USD,United States
LRCX,NMS,USD,United States
000660.KS,KSC,KRW,South Korea
2317.TW,TAI,TWD,Taiwan
DELL,NYQ,USD,United States
XIACF,PNK,USD,China
KLAC,NMS,USD,United States
NXSN.TA,TLV,ILS,Israel
ABNB,NMS,USD,United States
EQIX,NMS,USD,United States
SNPS,NMS,USD,United States
CDNS,NMS,USD,United States
PYPL,NMS,USD,United States
SPOT,NYQ,USD,Luxembourg
CRWD,NMS,USD,United States
MRVL,NMS,USD,United States
8035.T,JPX,JPY,Japan
DASH,NMS,USD,United States
CSU.TO,TOR,CAD,Canada
2454.TW,TAI,TWD,Taiwan
WDAY,NMS,USD,United States
ADSK,NMS,USD,United States
JD,NMS,USD,China
FTNT,NMS,USD,United States
7974.T,JPX,JPY,Japan
TTD,NGM,USD,United States
ROP,NMS,USD,United States
TEAM,NMS,USD,Australia
NXPI,NMS,USD,Netherlands
APP,NMS,USD,United States
DELTA.BK,SET,THB,Thailand
SE,NYQ,USD,Singapore
NTES,NMS,USD,China
FICO,NYQ,USD,United States
COIN,NMS,USD,United States
ADYEN.AS,AMS,EUR,Netherlands
FIS,NYQ,USD,United States
CPNG,NYQ,USD,United States
MSTR,NMS,USD,United States
0981.HK,HKG,HKD,China
DSY.PA,PAR,EUR,France
TEL,NYQ,USD,Ireland
SQ,NYQ,USD,United States
TCOM,NMS,USD,Singapore
6857.T,JPX,JPY,Japan
DDOG,NMS,USD,United States
IFX.DE,GER,EUR,Germany
WKL.AS,AMS,EUR,Netherlands
EA,NMS,USD,United States
MCHP,NMS,USD,United States
GRMN,NYQ,USD,Switzerland
2382.TW,TAI,TWD,Taiwan
SNOW,NYQ,USD,United States
IQV,NYQ,USD,United States
MPWR,NMS,USD,United States
HPQ,NYQ,USD,United States
VEEV,NYQ,USD,United States